number,firstName,lastName,pos,bat,thw,age,ht,wt,birthPlace
36,Ian,Anderson,SP,R,R,25,"6' 3""",170 lbs,"Rexford, NY"
49,Aaron,Bummer,RP,L,L,30,"6' 3""",215 lbs,"Valencia, CA"
46,Dylan,Dodd,SP,L,L,25,"6' 2""",210 lbs,"Danville, IL"
55,Bryce,Elder,SP,R,R,24,"6' 2""",220 lbs,"Decatur, TX"
54,Max,Fried,SP,L,L,29,"6' 4""",190 lbs,"Santa Monica, CA"
75,Daysbel,Hernandez,RP,R,R,27,"5' 10""",220 lbs,"Oriente, Cuba"
26,Raisel,Iglesias,RP,R,R,33,"6' 2""",190 lbs,"Isla de la Juventud, Cuba"
77,Joe,Jimenez,RP,R,R,28,"6' 3""",277 lbs,"San Juan, Puerto Rico"
38,Pierce,Johnson,RP,R,R,32,"6' 2""",202 lbs,"Denver, CO"
56,Ray,Kerr,RP,L,L,29,"6' 3""",185 lbs,"Sacramento, CA"
52,Dylan,Lee,RP,L,L,29,"6' 3""",214 lbs,"Dinuba, CA"
40,Reynaldo,Lopez,RP,R,R,29,"6' 1""",225 lbs,"San Pedro de Macoris, Dominican Republic"
68,Tyler,Matzek,RP,L,L,33,"6' 3""",230 lbs,"Mission Viejo, CA"
33,A.J.,Minter,RP,L,L,30,"6' 0""",215 lbs,"Tyler, TX"
50,Charlie,Morton,SP,R,R,40,"6' 5""",215 lbs,"Flemington, NJ"
56,Penn,Murfee,RP,R,R,29,"6' 2""",195 lbs,"Nashville, TN"
67,Angel,Perdomo,RP,L,L,29,"6' 8""",265 lbs,"San Cristobal, Dominican Republic"
51,Chris,Sale,SP,L,L,34,"6' 6""",180 lbs,"Lakeland, FL"
62,AJ,Smith-Shawver,SP,R,R,21,"6' 3""",205 lbs,"Fort Worth, TX"
53,Jackson,Stephens,RP,R,R,29,"6' 2""",220 lbs,"Oxford, AL"
99,Spencer,Strider,SP,R,R,25,"6' 0""",195 lbs,"Columbus, OH"
64,Darius,Vines,SP,R,R,25,"6' 1""",190 lbs,"Oxnard, CA"
72,Allan,Winans,SP,R,R,28,"6' 2""",165 lbs,"Bakersfield, CA"
19,Huascar,Ynoa,SP,R,R,25,"6' 2""",220 lbs,"Puerto Plata, Dominican Republic"